name,branche,beschreibung,adresse,id,ansprechperson,email,telefon,telefax
Visus Service GmbH,Dienstleistungen,"Beratungen für Management, Marketing, Verwaltung","Postfach 4218
5001 Aarau",3483, ,info@visus.ch,062/ 836 20 80,062/ 836 20 81
PSS Stoltenberg,Getränke,Unterhaltsarbeiten in der Getränkeindustrie,"Schiffländestrasse 4
5000 Aarau",3484,Ralf Stoltenberg,ralf.stoltenberg@rpss.ch,079 235 24 57,
Vital AG,Diverse,"Vormischungen für Futtermittel, Tierarzneimittel","Industriestrasse 30
Postfach
5036 Oberentfelden",3485,Clemens Hochreuter,clemens.hochreuter@vital-ag.ch,062 737 50 40,062 737 50 30
Mittelland-Personal AG,Personal,Stellenvermittlung für die Industrie und das Industrie-nahe Gewerbe,"Igelweid 22
5001 Aarau",3487,Roger Marty,rmarty@mittelland-personal.ch,062 832 10 60,062 832 10 69
innov8 AG,Internet,"Grafik, Druck & Web Solutions","Delfterstrasse Süd 12
5000 Aarau",3492,Pascal Von Arb,info@innov8.ch,062 825 11 55,062 825 11 51
AXA Winterthur Generalagentur Marcello Pierri,Versicherung,Generalagentur Marcello Pierri,"Schlossplatz 1
5001 Aarau",3493,Marcello Pierri,marcello.pierri@axa-winterthur.ch,062 837 48 48,062 837 48 80
Knaus Treuhand AG,Treuhand,"Treuhand-Dienstleistungen, Mitglied Treuhand│Suisse","Aarepark 6
5000 Aarau",3495,Simon P. Knaus,news@knaus.ch,062 822 97 22,062 822 36 89
Zahner Platten AG,"Bodenbeläge, Teppiche, Parkett",Wand- und Bodenplatten,"Hauptstrasse 98b
5032 Aarau Rohr",3497,Armin Zahner,info@zahnerag.ch,062 832 42 52,062 832 42 51
ZILTENER AG,Metallbau,,"Wässermattstrasse 2
5000 Aarau",3498,Jürg Amsler,info@ziltenermetall.ch,062 836 44 88,062/ 836 44 80 
Zimmermann Gartenbau AG,Gartenbau,,"Hebelweg 6
5000 Aarau",3499,Reto Zimmermann,info@zimmermann-gartenbau.ch,062 822 01 85,062 842 03 59
Zubler Partner Architekten,Architektur,Planung und Ausführung von Hochbauten,"Hohlgasse 58
5000 Aarau",3500,Werner Zubler,info@zubler-schaffer.ch,062 822 10 32,062 822 52 27
Zubler AG,Baugewerbe,"Bauunternehmung, Zimmerei, Fensterfabrik","Gönhardweg 28
5001 Aarau",3501,Urs Zubler,u.zubler@zublerag.ch,062/ 822 77 22,062/ 836 94 79
ISI PRINT AG,Druck,ISI Print ist Ihr regio­naler Partner in Aarau für mass­geschnei­derte Lösungen,"Tellistrasse 114
5000 Aarau",3503,Isa Aeberhard,i.aeberhard@isi-print.ch,062 849 10 00,062 849 10 01
Avanti Bau GmbH,Baugewerbe,Abdichtung / Bautenschutz,"Pestalozzistrasse 49
5001 Aarau",3504,Nik Seiler,info@avantibau.ch,062 823 67 70,062 823 67 74
Raiffeisenbank Aarau-Lenzburg,Bank,,"Kasinostrasse 37
5000 Aarau",3505,Marcel Füchslin,marcel.fuechslin@raiffeisen.ch,062 888 83 83,
CS-Computing GmbH,Computer,Informatikdienstleistungen,"Hauptstrasse 73
5032 Aarau Rohr",3506,Fabian Wildi,info@cs-computing.ch,062 824 91 30,062 823 31 28
A-Zulauf Musikinstrumente GmbH,Musik,Musikgeschäft &amp; Musikschule,"Zentrum Brauerei, Mitteldorfstrasse 37
5033 Buchs",3507,Rainer Zulauf,rainer@a-zulauf.ch,062 823 01 21,062 823 01 71
Rechtsanwalt Dr. Beat Ries,Advokatur- und Notariatsbüro,Rechtsanwalt,"Bleichemattstrasse 43
5001 Aarau",3508,Dr. Beat Ries,ries@siegrist-ries.ch,062 866 16 16,062 866 16 18
kaz. Kaufmännisches Ausbildungszentrum Aarau,Schule,"Handelsschule, Neuorientierung, Kaderschule","Kasinostrasse 19
5000 Aarau",3511,Franz Bohnenblust,bohnenblust.franz@kazaarau.ch,062 824 99 00,
Valiant Bank AG,Bank,"Valiant - Nähe, die Sie weiter bringt.","Laurenzenvorstadt 1
5001 Aarau",3512,Peter Schär,peter.schaer@valiant.ch,062 837 80 74,062 837 80 45
Bouygues E&S In Tec Schweiz AG,Elektro und Telekommunikation,Wir verstehen Gebäude!,"Postfach 2228
5001 Aarau",3514,Matthias Studer,matthias.studer@bouygues-es.com,062 288 12 88,062 288 12 89
Zinniker Rudolf Fürsprecher und Notar,Advokatur- und Notariatsbüro,Advokatur &amp; Notariat,"Frey-Herosé-Strasse 20
5001 Aarau",3515,Rudolf Zinniker,zinniker@advonot.ch,062 823 84 00,062 824 74 47
BCO Treuhand + Vorsorge AG,Finanzplanung,Treuhand und Vorsorge,"Rain 41
5001 Aarau",3516,Daniel Scherzinger,d.scherzinger@bco.ch,062 836 88 20,062 836 88 21
Immotelli,Immobilien,Liegenschaftsverwaltung,"Tellistrasse 116
5000 Aarau",3518,Georg Kunath,georg.kunath@bluewin.ch,062 822 19 88,062 824 45 89
Jaisli-Beck AG,Bäckerei - Konditorei - Confiserie,,"Oberdorfstrasse 9
5033 Buchs",3520,Beat Jaisli,mail@jaisli-beck.ch,062 836 10 31,062 836 10 39
Restaurant Rathausgarten Gastro GmbH,Gastgewerbe,,"Obere Vorstadt 36
5000 Aarau",3523,Andreas Steineder,asteineder@rathausgarten.ch,062 824 15 34,062 824 29 07
AWB Beratungen AG,Immobilien,Immobilienverwaltung und -beratung,"Bahnhofstrasse 10
5001 Aarau",3524,Monika Frei,mfrei@awb.ch,062 832 77 40,
Scherer Treuhand AG,Treuhand,,"Kasinostrasse 19
5000 Aarau",3525,Stefan Scherer,info@scherer-treuhand-ag.ch,062 832 52 00,062 832 52 09
"Spaghetti-Factory ""Salmen"" Spago SA",Gastgewerbe,,"Metzgergasse 8
5000 Aarau",3526,Marcel Meyer,,062 822 23 12,062 822 23 78
Hirslanden Klinik Aarau,Gesundheit,Das private Gesundheitszentrum im Mittelland,"Schänisweg
5001 Aarau",3527,Adrian von Känel,adrian.vonkaenel@hirslanden.ch,062 836 75 40,062 836 75 71
H2G Internetagentur,Internet,Beratung und Umsetzungen im Bereich Internetlösungen,"Halden 36
5000 Aarau",3528,Roland Etter,roland.etter@h2g.ch,062 823 33 30,
Schärer Daniel Verbandsdienstleistungen,Unternehmensberatung,,"Bahnhofstrasse 86
5001 Aarau",3531,Daniel Schärer,office@danielschaerer.ch,062 962 56 55,062 823 37 84
Hunziker Martina,Rechtsanwalt,,"Hintere Bahnhofstrasse 6
5001 Aarau",3532,Martina Hunziker lic. iur.,martina.hunziker@5001.ch,062 837 50 00,062 837 50 01
Randstad (Schweiz) AG,Personal,Personaldienstleister Technik/Industrie,"Igelweid 3
5001 Aarau",3533,Markus Schärer,markus.schaerer@ch.randstad.com,058 201 40 00,058 201 40 01
Bolliger Schmuck und Uhren,Bijouterie - Uhren,,"Rathausgasse 23
5000 Aarau",3534,Lisa und Christian Bolliger,info@bolliger-schmuck.ch,062 823 33 90,062 823 33 92
H & T Raumdesign AG,Baugewerbe,"Innenausbau, Einbruchschutz, Haustüren, Schiebewände, Harmonikatüren","Rohrerstrasse 20
5000 Aarau",3535,Thomas Zulauf,t.zulauf@hta.ch,062 835 70 30,062 835 70 01
Garage Zimmerli Aarau AG,Automobile,Autogarage,"Hauptstrasse 1
5032 Aarau Rohr",3538,Giuseppe Longa,longa@garage-zimmerli.ch,062 837 97 50,062 837 97 60
MCS Meier,Automobile,Carrosserie und Lackierwerk,"Buchserstrasse 53
5000 Aarau",3539,Marcel Meier,mcs-meier@sunrise.ch,062 842 41 41,062 842 16 16
Die Mobiliar Versicherungen & Vorsorge,Versicherung,Versicherungen & Vorsorge,"Kasinostrasse 29
5001 Aarau",3541,Thomas Valli,thomas.valli@mobi.ch,062 837 75 27,062 837 75 76 
Robert Hauri GmbH,Transporte,Hauswartungen und Transporte,"Troxlerweg 4
5000 Aarau",3542,Robert Hauri,kontakt@robert-hauri-gmbh.ch,079 606 68 92,
Hochuli + Co Liegenschaftsverwaltung,Immobilien,,"Pfrundweg 1
5000 Aarau",3543,Heinrich Hochuli,h.hochuli@hochuliaarau.ch,,
CSD Ingenieure AG,Ingenieurbüro,"Ingenieurbüro für Umwelt, Geolgie, Bau, Energie und Wasser","Schachenallee 29A
5000 Aarau",3544,Bernhard Müller,aarau@csd.ch,062 834 44 00,062 834 44 01
Dörig & Partner AG,Finanzplanung,Greifbare Lösungen für Ihre sichere Zukunft.,"Herzogstrasse 12
5001 Aarau",3545,Mario Serratore,serratore@doerig-partner.ch,062 836 90 20,062 836 90 21
Modellbahn-Center Eurobahn,"Geschenke, Basteln, Spielwaren",Modellbahn-Center,"Hauptstrasse 14
5032 Aarau Rohr",3547,Judith Stofner,info@eurobahn.ch,062 822 10 20,
Felix Steiner AG,Baugewerbe,"Schreinerei, Küchen , Innenausbau, Massmöbel","Künzlimattstrasse 1
5032 Aarau Rohr",3548,Stephan Gautschi,info@fsteinerag.ch,062 824 10 44,062 822 29 83
Biofischzucht Nadler AG,Lebensmittel,Produktion von Bio-Forellen/-Saiblingen,"Bibersteinerstrasse 6
5032 Aarau Rohr",3549,August Nadler,info@biofischzucht.ch,062 822 33 70,062 822 31 71
EBERHARD & Partner AG,Ingenieurbüro,"Fachberater in Geologie, Geothermie, Energie, Altlasten, Geotechnik","General Guisan-Strasse 2
5000 Aarau",3550,Mark Eberhard,service@eberhard-partner.ch,062 834 40 60,062 834 40 61
Hochhaus AG,Immobilien,,"Hauptstrasse 14
5032 Aarau Rohr",3551,Judith Stofner,info@eurobahn.ch,062 822 42 60,062 823 42 70
Husistein AG,Immobilien,Immobilien,"Hauptstrasse 73
Immobilien
5032 Aarau Rohr",3552,Marcel Husistein,marcel@husistein-immo.ch,062 822 32 32,
ERNE AG Bauunternehmung,Baugewerbe,"Hochbau, Tiefbau, Werterhaltung, Bauservice, Umbau, Sanierung, Totalunternehmen, Generalunternehmen","Baslerstrasse 5
5080 Laufenburg",3553,René Bosshard,info@erne.ch,062 869 43 00,062 869 43 50
Hypothekarbank Lenzburg AG,Bank,Leiter Region Aarau,"Postweg 1
5034 Suhr",3554,Fabrizio A. Castagna,fabrizio.castagna@hbl.ch,062 885 17 00,
Kosmetikstudio,Kosmetik,Kosmetikstudio,"Römerstrasse 14
5032 Aarau Rohr",3555,Regina Jäggi,rrjaeggi@bluewin.ch,062 822 27 10,062 822 31 65
Le Coiffeur Daniela,Coiffure,Coiffeursalon,"Hauptstrasse 7
5032 Aarau Rohr",3556,Daniela Meier,Coiffeur_daniela@sunrise.ch,062 822 57 55,
Maurer Motos AG,Velos - Motos,,"Gartenstrasse 21
5032 Aarau Rohr",3558,René Maurer,info@maurermotos.ch,062 823 94 74,062 823 94 73
Maurer Treuhand AG,Treuhand,,"Hauptstrasse 73
5032 Aarau Rohr",3559,Martin Hegg,info@treuhand-maurer.ch,062 824 03 55,062 824 03 56
Mercedes-Benz Automobil AG,Automobile,Nutzfahrzeuge,"Zweigniederlassung Rohr
Hauptstrasse 104
5032 Aarau Rohr",3560,Felix Leemann,felix.leemann@merbag.ch,062 834 86 86,062 834 86 34
Metzgerei Speck GmbH,Metzgerei,Metzgerei,"Hauptstrasse 42
5032 Aarau Rohr",3561,Peter Speck,peter@speck-metzgerei.ch,062 824 47 59,062 824 47 49
Naegeli Maschinencenter AG,Eisenwarenhandel,Elektrowerkzeuge+Motorgeräte,"Hauptstrasse 106
5032 Aarau Rohr",3563,Robert Joho-Naegeli,info@naegelimaschinen.ch,062 824 24 44,062 822 88 80
inter-punkt. ag,Werbung,Web- und Werbeagentur,"Metzgergasse 6B
5034 Suhr",3565,Fabian Koch,fk@inter-punkt.ch,062 531 32 32,
Triflex Treuhand AG,Treuhand,Treuhandbüro,"Hauptstrasse 60
5032 Aarau Rohr",3566,Christoph Fleck,fleck@triflex.ch,062 834 09 25,062 834 09 26
Schmid Velosport AG,Velos - Motos,Velohandlung,"Hauptstrasse 58
5032 Aarau Rohr",3567,Philipp Schmid,info@schmid-velosport.ch,062 824 34 13,062 824 34 03
Vorburger Kurt AG,Sanitär - Heizung,"Heizung, Sanitär","Hauptstrasse 15a
5032 Aarau Rohr",3568,Susanne Vorburger,susanne.vorburger@vorburgerag.ch,062 834 33 33,062 834 33 34
MFH Consulting GmbH,Unternehmensberatung,FREIGERÄUMT arbeiten - führen - handeln,"Imhofstrasse 4
5000 Aarau",3569,Franziska Hunziker,fhunziker@freigeraeumt.ch,062  823 53 01,
W + S AG,Elektro,Elektroinstallationen,"Lindenweg 4
5032 Aarau Rohr",3570,Ruedi Goldenberger,elektro@ws-ag.ch,062 834 60 60,062 834 60 79
"Zimmermann AG, Lösungen für Immobilien",Immobilien,"Projektentwicklungen für Private, Investoren und Behörden","Laurenzenvorstadt 25
5000 Aarau",3571,Walter Zimmermann,walter.zimmermann@zimmermann-ag.ch,062 832 60 90,
Groupe Mutuel,Versicherung,"Personenversicherer (Krankenversicherung, Krankenzusatzversicherung, Taggeld, UVG, BVG und Leben).","Buchserstrasse 12
5000 Aarau",3572,Beat Reichlin,breichlin@groupemutuel.ch,,058/ 758 66 09
Aarauer Nachrichten,Medien,"Verlagshaus Zehnder Wil - Herausgabe Aarauer Nachrichten, Aargauer Rundschau, Nachrichten fürs Limmattal","Delfterstrasse Süd 10
5004 Aarau",3574,Urs Billerbeck,urs.billerbeck@aarauer-nachrichten.ch,+41 62 838 09 10,+41 62 838 09 12
Migros Bank AG,Bank,Migros Bank - es geht auch anders,"Bahnhofplatz 4
5001 Aarau",3575,Edmund Mayer,edmund.mayer@migrosbank.ch,0848 845 400,062 832 26 11
Residenz Cartau,Gesundheit,privates Pflege- und Altersheim,"Im Aarepark 3B
5000 Aarau",3576,Fritz Schmid,residenzcartau@bluewin.ch,079 787 50 19,
bilanz & erfolg ag,Treuhand,Rechnungswesen und Immobilientreuhand,"Laurenzenvorstadt 57
5000 Aarau",3577,Boris Kathe,info@bilanzunderfolg.ch,062 823 50 50,062 823 50 55
BIKU Languages AG,Aus- und Weiterbildung,"Vermittlung von Business-, Allgemein- und Examen-Sprachkursen an führenden Sprachschulen im Sprachgebiet","Vordere Vorstadt 8
5001 Aarau",3579,Nicole Werder,info@biku.ch,062 822 86 86,062 822 60 60
Andi Schumacher Gartenbau GmbH,Gartenbau,Ein junges inovatives Gartenbau Unternehmen,"Hauptstrasse 57
5032 Aarau Rohr",3580,Andi Schumacher,info@andi-schumacher-gartenbau.ch,062 824 00 66,062 823 02 88
Anwaltspraxis Hochstrasser,Rechtsanwalt,Spezialisierte Anwaltskanzlei für Versicherungsrecht und Haftplichtrecht,"Rain 41
5000 Aarau",3583,lic. iur. Urs Hochstrasser,praxis@hochstrasser-recht.ch,062 836 88 18,062 836 88 21
NEUE IMMO AG,Immobilien,Immobilien-Treuhand / Schätzen / Verwalten / Verkauf,"Ziegelrain 11
5000 Aarau",3584,Ueli Kehl,info@neueimmo.ch,062 832 77 00,062 832 77 09
TM Concept AG,Dienstleistungen,Generalplanungen von Kommunikationsinfrastrukturen,"Delfterstrasse 12
5000 Aarau",3585,Thomas Gerber,thomas.gerber@tmconcept.ch,062 836 42 42,
INSURA Consulting Urech & Partner AG,Versicherung,Versicherungsbroker und Vorsorgeberatung für Firmenkunden,"Kasinostrasse 15
5001 Aarau",3586, ,,062 836 88 66,062 836 88 68
Siegrist Dr. Markus,Advokatur- und Notariatsbüro,"Bau-, Planungs- , Enteignungs- und Immobilienrecht","Bleichemattstrasse 43
5001 Aarau",3587,Dr. Markus Siegrist,siegrist.advonot@bluewin.ch,062 866 16 16,062 816 16 18
TEMPORIS PERSONAL AG,Personal,Personaldienstleitungen - Stellenvermittlung,"Igelweid 5
5001 Aarau",3590,Roger Jungwirth,r.jungwirth@temporispersonal.ch,062 832 94 94,062 832 94 95
Schwaller Flury Dübendorfer Rechtsanwälte und Notare,Advokatur- und Notariatsbüro,Forensische und beratende Dienstleistungen in den Bereichen Advokatur und Notariat,"Laurenzenvorstadt 11
5001 Aarau",3591,Marc Dübendorfer,duebendorfer@sfd-law.ch,062 822 77 72,062 822 77 71
Vitalyse Aarau,Gesundheit,"Praxis für Ernährung, Gewichtsreduktion und Gesundheit","Bahnhofstrasse 3
5000 Aarau",3592,Corina Cerutti,ccerutti@vitalyse-aarau.ch,062 823 84 41,062 823 84 42
Druckerei AG Suhr,Druck,"Visuelle Kommunikation - Ihr Partner im Grossraum Aarau für Gestaltung, Druck, Weiterverarbeitung und Lettershop!","Postweg 2
5034 Suhr",3593,Reinhard Niederer,reinhard.niederer@drucksuhr.ch,062 855 08 55,062 855 08 59
SWICA Gesundheitsorganisation,Versicherung,Kranken- und Unfallversicherung,"Bahnhofstrasse 4
5001 Aarau",3594,Alessandro Zezza,alessandro.zezza@swica.ch,062 834 63 30,062 834 63 31
Baumpflege Kauffungen GmbH,Baumpflege,"Beratung, Pflanzung, Schnitt, Fällung, Baumschutz auf Baustellen, alle Dienstleistungen rund um den Baum.","Hauptstrasse 37e
5032 Aarau Rohr",3597,Lukas Kauffungen,info@baumpflege-kauffungen.ch,062 822 11 77,
Eglin Elektro AG Aarau,Elektro und Telekommunikation,Elektro und Telekommunikations-Installationen ini Neu- und Umbauten wie auch Industrie,"Neumattstrasse 2
5000 Aarau",3598,Marc Stammbach,marc.stammbach@eglin.ch,062 200 20 20,
safehands GmbH,Projektleitung / Management auf Zeit,Flexible und  professionelle Managementkompetenzen als Entlastung für Sie und Ihr Team,"Hungerbergstrasse 35
5000 Aarau",3599,Véronique Persson,vpersson@safehands.ch,079 843 38 15,
axelion AG,EDV,It works.,"Neumattstrasse 2
5000 Aarau",3600,Roland Deflorin,roland.deflorin@axelion.ch,+41 62 200 65 00,
Wehrli Weinbau AG,Weine und Spirituosen,Die Weinfamilie aus dem Aargau,"Oberdorfstrasse 8
5024 Küttigen",3602,Rolf Wehrli,info@wehrli-weinbau.ch,062 827 22 75,062 827 00 17
KBT Treuhand AG Aargau,Treuhand,Neue Niederlassung der KBT Holding,"Bachmattweg 18
5000 Aarau",3603,Sonja Hadorn,s.hadorn@kbt.ch,062 746 22 30,062 746 22 31
Rohrputz-Loriol AG Kanalservice,Kanalservice,"Rohrputz-Loriol reinigt, spült, saugt, entstopft im Haus und rund ums Haus","Industriestrasse 48
4657 Dulliken",3604,Heinz Sommer,h.sommer@rohrputz-loriol.ch,+41 62 216 43 77,+41 62 216 05 29
CONCORDIA,Versicherung,"CONCORDIA, Dir vertraue ich","Buchserstrasse 12
5001 Aarau",3605,Emanuele Guarino,aarau@concordia.ch,062 838 20 31,062 838 20 39
wisol technologie GmbH,Maschinensteuerungen,Entwicklung und Wartung von Steuerungen im industriellen Umfeld,"Industriestrasse 10
5036 Oberentfelden",3606,Urs Wegmann,info@wisol.ch,+41 79 600 61 14,
Laufwerk GmbH,Gesundheit,Fachgeschäft für technische Orthopädie und Gesundheit.,"Siebenmatten 1b
5032 Aarau Rohr",3607,Thomas Kapschak,info@laufwerk-aarau.ch,0628233135,0628233136
CAP-Kommunikation,Coaching Persönlichkeitsentwicklung,Inhouse-Mentalseminare / Hypnosecoaching / Mentalcoaching / Tiefenkommunikation,"Rain 26
5000 Aarau",3608,Antonio Capuzzi,info@cap-kommunikation.ch,+41 (0)79 332 81 84,
WEBSAMURAI AG,Internet,Die WEBSAMURAI AG ist eine junge und innovative Webagentur mit Sitz in Aarau,"Schachenallee 29
5000 Aarau",3610,Remo Vendramini,remo.vendramini@websamurai.ch,062 511 91 11,
Engel & Völkers,Immobilien,Immobilienberatung und Vermarktung,"Kronengasse 2
5000 Aarau",3611,Daniel Kantim,aarau@engelvoelkers.com,+41 62 825 27 90,
Fuchsgroup Consulting AG,EDV,"Die Fuchsgroup Consulting AG ist ein Dienstleistungsunternehmen für Beratung, Konzeption und Schulung rund um ihre Geschäftsprozesse.","Bahnhofstrasse 67
5000 Aarau",3618,Carlo Pirola,pirola@fuchsgroup.ch,062 897 52 77,
aarau info,Standortmarketing Tourismus,Tourismusbüro,"Metzgergasse 2
5000 Aarau",3619,Danièle Turkier,daniele.turkier@aarauinfo.ch,062 834 10 34,062 834 10 35
GRIBI Bewirtschaftung AG,Immobilien,Verkauf/Erstvermietung/Bewirtschaftung/Baumanagement,"Buchserstrasse 3
5000 Aarau",3620,Karola Marder,karola.marder@gribi.com,062 832 60 70,062 832 60 71
Stephan Kohler Managementberatung,Unternehmensberatung,,"Philosophenweg 42 A
5000 Aarau",3630,Stephan Kohler,info@kohlerberatung.ch,+41 79 310 23 75,
Apleona Real Estate AG,Immobilien,,"Rain 53
Postfach
5001 Aarau",3631,Nicole Klöti,nicole.kloeti@apleona.com,062 837 76 76,063 837 76 77
Livesystems AG,Medien,passengertv,"Rüttistrasse 26
8952 Schlieren",3632,Mario Ferraris,mario.ferraris@livesystems.ch,062 888 08 12,031 810 00 19
Kairos BCT,Coaching Persönlichkeitsentwicklung,,"Metzgergasse 8
5000 Aarau",3633,Danièle Zatti Kuhn,d.zatti@bluewin.ch,062 822 04 04,
"Thomas Käser, Rechtsanwalt und Notar",Advokatur- und Notariatsbüro,Umfassende Dienstleistungen und massgeschneiderte Lösungen in den Bereichen Advokatur und Notariat.,"Zelglistrasse 15
Postfach
5001 Aarau",3635,Thomas Käser,kaeser@advoaarau.ch,062 834 90 00,062 834 90 09
Reaktor AG,Kommunikation,,"Laurenzenvorstadt 25
5000 Aarau",3636,Nadine Huggel,n.huggel@reaktor.ch,062 823 50 08,
Prädikat GmbH,Kommunikation,Lead-Agentur,"Laurenzentorgasse 16
Die Agentur für nachhaltige Kommunikation.
5000 Aarau",3637,Till Hillmann,mail@praedikat.ch,062 823 32 32,
"Swiss Life, Generalagentur Aarau, Markus Rosenberg",Versicherung,Versicherungsgesellschaft,"Hintere Bahnhofstrasse 85
Versicherungsgesellschaft
5000 Aarau",3639,Markus Rosenberg,,062 838 28 85,062 838 28 80
REIST PARTNER AG,Treuhand,,"Schiffländestrasse 27 A
5000 Aarau",3640,Marcos Santana,marcos.santana@reist-partner.ch,062 824 03 30,
flexMedics AG,Personal,Personal im Gesundheitswesen,"Bahnhofstrasse 17
5000 Aarau",3643,Debora Wetter,d.wetter@flexmedics.ch,062 824 91 91,062 824 91 92
EntwicklungsART GmbH,Unternehmensberatung,Beratung von Firmen in unterschiedlichen Branchen und Grössen,"Mühlemattstrasse 42
5000 Aarau",3644,Jacqueline Totzke Christoffel,j.totzke@entwicklungsart.swiss,+41 62 842 91 51,+41 62 842 91 54
Restaurant Beluga AG,Gastgewerbe,,"Vordere Vorstadt 17
5000 Aarau",3648,Urs Lukas Marrer,info@beluga-aarau.ch,062/822 52 22,062/822 27 77
acustix - Das Leben hören.,Gesundheit,Der Hörgeräteakustiker mit der persönlichen Beratung,"Bibersteinerstrasse 4
Postfach 34
5022 Rombach",3649,Dan Leonhardt,dleonhardt@acustix.ch,+41 62 827 30 50,+41 62 827 30 51
Helvetia Versicherungen Generalagentur Aarau,Versicherung,,"Mitteldorfstrasse 37
Roger Seiger
5033 Buchs",3650,Roger Seiger,roger.seiger@helvetia.ch,079 689 18 49,
Witzig The Office Company AG,Büroeinrichtungen,,"Rohrerstrasse 78
5000 Aarau",3651,Urs Clerici,urs.clerici@witzig.ch,062 822 18 17,
hilfiker & partner ag,Versicherung,,"Zollrain 14
5001 Aarau",3652,Thomas Hilfiker,thomas.hilfiker@hilfiker-partner.ch,062 823 47 47,
Gastroenterologie Aarau AG,Gesundheit,,"Buchserstrasse 18
Dr. med. Florian Riniker
5000 Aarau",3653,Florian Riniker,florian.riniker@hin.ch,062 824 90 90,062 824 90 91
Aconum GmbH,Unternehmensberatung,,"Siebenmatten 24
5032 Aarau Rohr",3654,Markus Grütter,markus.gruetter@aconum.ch,062 823 20 20,
ImUmReinigung Susanne Kaufmann,Dienstleistungen,"Reinigung für Gewerbe und Privat, Hauswartung, Bügelservice, Haushaltcoaching,","Siebenmatten 69
5032 Aarau Rohr",3656,Susanne Kaufmann,ss.kaufmann@hispeed.ch,078 710 28 60,
KMU Personal AG Aarau,Personal,,"Bahnhofstrasse 33
5001 Aarau",3659,Massimo Bella,massimo.bella@kmupersonal.ch,062 834 30 30,062 834 30 31
Dorfgarage Daniel Imfeld AG,Automobile,Die Garage Ihres Vertrauens!,"Gösgerstrasse 29
5015 Erlinsbach",3660,Daniel Imfeld,info@dorf-garage.ch,062 844 48 20,062 844 48 23
ACW AG Aarauer Carrosserie Werke,Automobile,,"Wässermattstrasse 12
5004 Aarau",3661,Felix Wyss,info@acw-ag.ch,079 286 37 77,
mobile it solutions gmbh,Computer,Informatik und EDV- Dienstleistungen,"Rohrerstrasse 102
5000 Aarau",3663,Urs Wegmüller,u.wegmueller@mobile-it-solutions.ch,+41 62 824 35 35,
Otto M. Meier,Versicherung,Versicherungs- und Vorsorgelösungen,"Steingasse 9
Versicherungs- und Vorsorgelösungen
5102 Rupperswil",3664,Otto M. Meier,ottella.om@bluewin.ch,079 420 62 32,
second opinion gmbh,Kommunikation,Marketing & Kommunikation,"Hallwylstrasse 12
c/o Peter E. Renggli
5000 Aarau",3665,Peter E. Renggli,peter.renggli@2-opinion.ch,062 823 87 31,062 823 87 34
Jürg Willi & Partner AG,,,"Laurenzenvorstadt 21
5000 Aarau",3666,Jürg Willi,juerg.willi@willipartner.ch,,
Immobilia 4 AG,Immobilien,"Verkauf, Schätzung und Beratung für Immobilien","Zwischen den Toren 4
5000 Aarau",3667,Roland Egger,egger@immobilia4.ch,062 836 47 57,
wirkungs-Stark,Kommunikation,Grafik & Konzept,"Schachenallee 29
5000 Aarau",3670,Michelle Stark,mail@wirkungsstark.ch,062 511 28 18,
Hotel Kettenbrücke AG,Gastgewerbe,Hotellerie,"Zollrain 16
5000 Aarau",3671,Vera Schäfer,home@hotelkettenbruecke.ch,062 838 18 18,062 838 18 19
Gasser Consulting AG,Beratungsstelle,"Scheidung, Trennung, Arbeit, Erbschaft und aussergerichtliche Streitschlichtung, Mediation","Kelleräckerstr. 14
Zweitbüro
8967 Widen",3672,Beatrice Gasser,beatricegasser@bluewin.ch,044 881 24 44,
Previon Plus AG,Internet,"Previon ist eine Agentur, die Kreativität, Technologie und Daten vereint.","Aeschbachweg 12
5000 Aarau",3673,Roger Wernli,info@previon.ch,+41 58 680 28 28,
"Lotus Reinigung, Alan Arkula",,Gebäudereinigung & Hauswartung,"Effingerweg 10
5000 Aarau",3677,Alan Arkula,alan.arkula@lotusreinigung.ch,062 824 02 02,062 824 02 22
Michael Schibli,Treuhand,Treuhand / Immobilien,"Hombergstrasse 2
5000 Aarau",3678,Michael Schibli,m.schibli@schibli-treuhand.ch,079 754 33 04,
Welte Treuhand AG,Treuhand,,"Schiffländestrasse 27A
Postfach 4323
5001 Aarau",3679,Daniel Arnold,d.arnold@welteag.ch,062 827 31 41,062 827 33 34
small Foot AG - Die Kinderkrippe,Dienstleistungen,,"Schachenallee 31
5000 Aarau",3680,Fabian Haindl,traegerschaft@small-foot.ch,041 210 21 20,
MANPOWER,Personal,,"Kasinostrasse 25
5000 Aarau",3681,Peter Woodtli,peter.woodtli@manpower.ch,0583073344,0583073349
Nova Tours AG,Reisen,,"Kirchgasse 1
5000 Aarau",3682,Marco Russo,marco.russo@novatours.ch,062 823 33 23,
Bolliger Neukom Treuhand,Immobilien,,"Weltistrasse 9
Postfach 2417
5001 Aarau",3683,Urs Bolliger,bolliger@bntreuhand.ch,+41 62 823 39 39,
ESL – Sprachaufenthalte,Reisen,Kurse für mehr als 20 Fremdsprachen in über 250 Destinationen,"Igelweid 22
5000 Aarau",3685, ,aarau@esl.ch,062 823 88 12,062 823 88 08
